id,words,syllables,syllables_per_word,word_letter_count,characters,characters_spaces,alphanumeric,alpha,articles,sentences,sentence_len_stdev,min_words_per_sentence,max_words_per_sentence,avg_words_per_sentence,words_per_sentence_stdev,syllables_per_sentence,letters_per_sentence,paragraphs,word_per_paragraph,pages_paperback,pages_a4,to_be_verbs,contractions,pauses,words_between_pauses,pauses_per_sentence,syllables_between_pauses,questions,question_sentence_ratio,unique_words,pronouns,first_person_pronouns,second_person_pronouns,third_person_pronouns,prepositions,cliches,similes
10,821133,1084225,1.32,4.05,3484546,4332557,3327729,3224231,74042,29812,104.54,1,763,27.54,0.01,36.37,108.15,24608,33.37,2052.83,1173.05,25744,1790,124806,6.58,4.19,8.69,3297,0.1106,12862,109282,28,5,66,140811,28,159
11,26449,36415,1.38,4.07,116043,144435,107723,107721,2264,1642,87.04,1,202,16.11,0.44,22.18,65.6,819,32.29,66.12,37.78,774,0,2940,8.99,1.79,12.38,202,0.123,2836,3110,16,13,70,4368,5,34
12,29292,40015,1.37,4.08,129555,162186,119624,119615,2342,2069,67.55,1,238,14.16,0.42,19.34,57.81,972,30.14,73.23,41.85,818,0,2860,10.24,1.38,13.99,254,0.1228,3157,3528,17,16,66,4753,3,38
13,5003,7095,1.42,4.28,22641,32633,21395,21390,490,225,94.81,2,217,22.24,1.66,31.53,95.07,173,28.92,12.51,7.15,162,0,526,9.49,2.34,13.46,4,0.0178,1481,574,17,10,72,814,2,0
16,47439,64808,1.37,4.13,207593,256963,195877,195798,3300,3213,64.28,1,128,14.76,0.09,20.17,60.94,1693,28.02,118.6,67.77,2165,420,4488,10.57,1.4,14.44,319,0.0993,5050,7212,10,8,81,7598,14,41
17,291314,391483,1.34,4.08,1230899,1535752,1188658,1152581,21788,7678,125.69,1,522,37.94,0.02,50.99,150.11,6881,42.34,728.28,416.16,9840,69,33320,8.74,4.34,11.75,542,0.0706,6039,40963,27,6,65,47743,9,105
19,32133,47888,1.49,4.56,154605,188158,146563,146524,3851,1129,139.22,1,572,28.46,10.26,42.42,129.78,696,46.17,80.33,45.9,560,216,5689,5.65,5.04,8.42,44,0.039,4116,3429,17,10,71,5617,1,4
20,80037,115292,1.44,4.46,375596,456687,357025,357025,3374,1603,250.51,1,420,49.93,0.15,71.92,222.72,403,198.6,200.09,114.34,998,0,11511,6.95,7.18,10.01,263,0.1641,9985,7534,34,1,64,12936,5,11
23,40747,60535,1.49,4.31,183103,224813,175697,175533,3190,1994,84.83,1,223,20.43,0.09,30.36,88.03,246,165.64,101.87,58.21,1620,164,4126,9.87,2.07,14.67,39,0.0196,5377,5250,48,2,49,8037,12,42
24,55435,77780,1.4,4.16,242238,298710,230876,230862,4171,4032,51.26,1,82,13.75,0.6,19.29,57.26,870,63.72,138.59,79.19,2068,1017,3875,14.3,0.96,20.07,324,0.0804,5801,8229,17,10,71,9599,7,56
31,37437,52698,1.41,4.22,166155,214254,158132,158023,2097,2565,68.83,1,294,14.6,0.41,20.55,61.61,1367,27.39,93.59,53.48,870,421,4227,8.85,1.65,12.46,524,0.2043,5247,5249,56,4,38,5066,4,3
32,52145,78252,1.5,4.41,243047,296672,230083,230067,3216,3364,67.28,1,106,15.5,0.16,23.26,68.39,1395,37.38,130.36,74.49,1861,0,4569,11.41,1.36,17.12,287,0.0853,6818,7033,44,6,48,9032,10,78
35,32453,48668,1.5,4.35,146778,179681,141331,141331,3216,1934,60.17,1,125,16.78,1.09,25.16,73.08,344,94.34,81.13,46.36,1040,0,2417,13.42,1.25,20.13,96,0.0496,4814,3775,61,3,34,6071,6,21
36,60070,89723,1.49,4.43,276224,337342,266375,266338,6519,3445,74.81,1,119,17.44,0.6,26.04,77.31,949,63.3,150.18,85.81,1821,0,4437,13.54,1.29,20.22,121,0.0351,7142,5652,49,1,49,12100,10,37
39,7467,12283,1.64,4.81,37367,49121,35946,35484,821,471,86.03,1,397,15.85,1.66,26.08,75.34,152,49.13,18.67,10.67,353,23,587,12.7,1.25,20.89,1,0.0021,1579,231,3,21,74,1386,0,1
41,12214,18486,1.51,4.55,57374,69760,55539,55539,1337,351,116.71,1,153,34.8,0.21,52.67,158.23,84,145.4,30.54,17.45,399,0,1250,9.76,3.56,14.78,7,0.0199,3232,937,5,0,93,2605,2,6
43,25629,36916,1.44,4.19,112772,138799,107474,107457,2320,1198,93.13,1,125,21.39,0.87,30.81,89.7,362,70.8,64.07,36.61,940,0,2685,9.54,2.24,13.74,120,0.1002,4041,2698,41,9,48,4804,4,18
44,151018,215332,1.43,4.27,676746,830511,644357,644317,11445,10696,53.14,1,99,14.12,0.04,20.13,60.24,2173,69.5,377.55,215.74,5598,2691,10892,13.86,1.02,19.77,733,0.0685,11623,22272,12,10,77,26398,19,115
45,102520,146097,1.43,4.22,455750,560878,432868,432868,6337,6852,65.31,1,734,14.96,0.27,21.32,63.17,1830,56.02,256.3,146.46,3608,0,5922,17.31,0.86,24.67,580,0.0846,8243,12934,31,14,53,17288,25,136
46,28541,40545,1.42,4.26,129070,158414,121625,121621,2295,1947,83.11,1,148,14.66,0.34,20.82,62.47,725,39.37,71.35,40.77,1174,339,4404,6.48,2.26,9.2,159,0.0817,4486,3581,19,9,71,4890,9,21
47,91124,125782,1.38,4.1,394547,488181,373277,373258,5738,7906,59.32,1,448,11.53,0.02,15.91,47.21,1779,51.22,227.81,130.18,3132,0,5258,17.33,0.67,23.92,437,0.0553,7645,10853,27,11,60,14736,29,94
51,77174,109922,1.42,4.23,346988,426766,326237,326093,4568,6593,54.72,1,143,11.71,0.54,16.67,49.46,1855,41.6,192.94,110.25,2810,0,5156,14.96,0.78,21.32,519,0.0787,8082,9520,29,12,57,11995,21,77
54,42499,61402,1.44,4.32,194188,243212,183779,182961,4219,2737,71.63,1,699,15.53,0.44,22.43,66.85,1812,23.45,106.25,60.71,1511,359,5829,7.29,2.13,10.53,224,0.0818,4636,4843,31,13,55,6828,10,56
