id,title,author,author_birth_year,author_death_year,downloads
1342,Pride and Prejudice,"Austen, Jane",1775,1817,48057
84,Frankenstein,"Shelley, Mary Wollstonecraft",1797,1851,24822
1080,A Modest Proposal,"Swift, Jonathan",1667,1745,21986
219,Heart of Darkness,"Conrad, Joseph",1857,1924,21688
98,A Tale of Two Cities,"Dickens, Charles",1812,1870,21564
2542,A Doll's House,"Ibsen, Henrik",1828,1906,18856
11,Alice's Adventures in Wonderland,"Carroll, Lewis",1832,1898,16816
1661,The Adventures of Sherlock Holmes,"Doyle, Arthur Conan",1859,1930,16726
2701,Moby Dick,"Melville, Herman",1819,1891,16402
76,Adventures of Huckleberry Finn,"Twain, Mark",1835,1910,15597
844,The Importance of Being Earnest,"Wilde, Oscar",1854,1900,15541
1952,The Yellow Wallpaper,"Gilman, Charlotte Perkins",1860,1935,14246
74,The Adventures of Tom Sawyer,"Twain, Mark",1835,1910,13126
16328,Beowulf: An Anglo-Saxon Epic Poem,,0,0,12846
43,The Strange Case of Dr. Jekyll and Mr. Hyde,"Stevenson, Robert Louis",1850,1894,12681
345,Dracula,"Stoker, Bram",1847,1912,12667
5200,Metamorphosis,"Kafka, Franz",1883,1924,12483
2554,Crime and Punishment,"Dostoyevsky, Fyodor",1821,1881,12325
6130,The Iliad,Homer,-750,-650,11759
2591,Grimms' Fairy Tales,"Grimm, Wilhelm",1786,1859,11523
1260,Jane Eyre: An Autobiography,"Bronte, Charlotte",1816,1855,10985
160,"The Awakening, and Selected Short Stories","Chopin, Kate",1850,1904,10645
408,The Souls of Black Folk,"Du Bois, W. E. B. (William Edward Burghardt)",1868,1963,10612
2600,War and Peace,"Tolstoy, Leo, graf",1828,1910,10165
25344,The Scarlet Letter,"Hawthorne, Nathaniel",1804,1864,9500
174,The Picture of Dorian Gray,"Wilde, Oscar",1854,1900,9231
205,"Walden, and On The Duty Of Civil Disobedience","Thoreau, Henry David",1817,1862,9217
1184,The Count of Monte Cristo,"Dumas, Alexandre",1802,1870,9045
1400,Great Expectations,"Dickens, Charles",1812,1870,8999
46,A Christmas Carol,"Dickens, Charles",1812,1870,8680
57426,Baron Trump's Marvellous Underground Journey,"Lockwood, Ingersoll",1841,0,8661
4300,Ulysses,"Joyce, James",1882,1941,8374
1322,Leaves of Grass,"Whitman, Walt",1819,1892,8116
2814,Dubliners,"Joyce, James",1882,1941,8096
1232,The Prince,"Machiavelli, Niccolo",1469,1527,8011
158,Emma,"Austen, Jane",1775,1817,7893
16,Peter Pan,"Barrie, J. M. (James Matthew)",1860,1937,7499
3207,Leviathan,"Hobbes, Thomas",1588,1679,7487
1497,The Republic,Plato,-428,-348,7264
120,Treasure Island,"Stevenson, Robert Louis",1850,1894,7096
28054,The Brothers Karamazov,"Dostoyevsky, Fyodor",1821,1881,7021
135,Les Miserables,"Hugo, Victor",1802,1885,6587
